dep;jour;pop;P;cl_age90
01;2020-06-05;89791;0;59
01;2020-06-05;73500;2;69
01;2020-06-05;51011;0;79
01;2020-06-05;26830;2;89
01;2020-06-05;7395;0;90
01;2020-06-05;656955;5;0
01;2020-06-06;83001;0;09
01;2020-06-06;84665;0;19
01;2020-06-06;65496;1;29
01;2020-06-06;85588;0;39
01;2020-06-06;89678;2;49
01;2020-06-06;89791;0;59
01;2020-06-06;73500;0;69
01;2020-06-06;51011;0;79
01;2020-06-06;26830;0;89
01;2020-06-06;7395;0;90
01;2020-06-06;656955;3;0
01;2020-06-07;83001;0;09
01;2020-06-07;84665;0;19
01;2020-06-07;65496;0;29
01;2020-06-07;85588;0;39
01;2020-06-07;89678;0;49
01;2020-06-07;89791;0;59
01;2020-06-07;73500;0;69
01;2020-06-07;51011;0;79
01;2020-06-07;26830;1;89
01;2020-06-07;7395;0;90
01;2020-06-07;656955;1;0
01;2020-06-08;83001;0;09
01;2020-06-08;84665;0;19
01;2020-06-08;65496;0;29
01;2020-06-08;85588;0;39
01;2020-06-08;89678;0;49
01;2020-06-08;89791;0;59
01;2020-06-08;73500;0;69
01;2020-06-08;51011;0;79
01;2020-06-08;26830;0;89
01;2020-06-08;7395;0;90
01;2020-06-08;656955;0;0
01;2020-06-09;83001;0;09
01;2020-06-09;84665;0;19
01;2020-06-09;65496;0;29
01;2020-06-09;85588;0;39
01;2020-06-09;89678;1;49
01;2020-06-09;89791;0;59
01;2020-06-09;73500;0;69
01;2020-06-09;51011;0;79
01;2020-06-09;26830;0;89
01;2020-06-09;7395;0;90
01;2020-06-09;656955;1;0
01;2020-06-10;83001;0;09
01;2020-06-10;84665;0;19
01;2020-06-10;65496;0;29
01;2020-06-10;85588;0;39
01;2020-06-10;89678;0;49
01;2020-06-10;89791;0;59
01;2020-06-10;73500;0;69
01;2020-06-10;51011;0;79
01;2020-06-10;26830;0;89
01;2020-06-10;7395;1;90
01;2020-06-10;656955;1;0
01;2020-06-11;83001;0;09
01;2020-06-11;84665;2;19
01;2020-06-11;65496;2;29
01;2020-06-11;85588;0;39
01;2020-06-11;89678;1;49
01;2020-06-11;89791;0;59
01;2020-06-11;73500;3;69
01;2020-06-11;51011;0;79
01;2020-06-11;26830;0;89
01;2020-06-11;7395;0;90
01;2020-06-11;656955;8;0
01;2020-06-12;83001;0;09
01;2020-06-12;84665;1;19
01;2020-06-12;65496;2;29
01;2020-06-12;85588;0;39
01;2020-06-12;89678;1;49
01;2020-06-12;89791;0;59
01;2020-06-12;73500;0;69
01;2020-06-12;51011;0;79
01;2020-06-12;26830;0;89
01;2020-06-12;7395;0;90
01;2020-06-12;656955;4;0
01;2020-06-13;83001;0;09
01;2020-06-13;84665;0;19
01;2020-06-13;65496;0;29
01;2020-06-13;85588;0;39
01;2020-06-13;89678;0;49
01;2020-06-13;89791;0;59
01;2020-06-13;73500;0;69
01;2020-06-13;51011;0;79
01;2020-06-13;26830;0;89
01;2020-06-13;7395;0;90
01;2020-06-13;656955;0;0
01;2020-06-14;83001;0;09
01;2020-06-14;84665;0;19
01;2020-06-14;65496;0;29
01;2020-06-14;85588;0;39
01;2020-06-14;89678;0;49
01;2020-06-14;89791;1;59
01;2020-06-14;73500;0;69
01;2020-06-14;51011;0;79
01;2020-06-14;26830;0;89
01;2020-06-14;7395;0;90
01;2020-06-14;656955;1;0
01;2020-06-15;83001;0;09
01;2020-06-15;84665;0;19
01;2020-06-15;65496;0;29
01;2020-06-15;85588;0;39
01;2020-06-15;89678;0;49
01;2020-06-15;89791;0;59
01;2020-06-15;73500;0;69
01;2020-06-15;51011;0;79
